Name,Address,Rating,Enrollment,Grade span
Alliance College-Ready Middle Academy 12 School,"100 E. 49th St., Los Angeles",23,419,06-08
Alliance College-Ready Middle Academy 4 School,"9719 S. Main St., Los Angeles",40,455,06-08
Alliance College-Ready Middle Academy 5 School,"211 S. Ave. 20, Los Angeles",21,331,06-08
Alliance College-Ready Middle Academy 8 School,"113 S. Rowan Ave., Los Angeles",32,295,06-08
Alliance Collins Family College-Ready High School,"2071 Saturn Ave., Huntington Park",66,601,09-12
Alliance Dr. Olga Mohan High School,"644 W. 17th St., Los Angeles",90,451,09-12
Alliance Gertz-Ressler Richard Merkin 6-12 Complex School,"2023 S. Union Ave., Los Angeles",55,980,06-12
Alliance Jack H. Skirball Middle School,"603 E. 115th St., Los Angeles",30,444,06-08
Alliance Judy Ivie Burton Technology Academy High School,"10101 S. BRd.way, Los Angeles",60,600,09-12
Alliance Kory Hunter Middle School,"5886 Compton Ave., Los Angeles",16,293,06-08
Alliance Leadership Middle Academy School,"2941 W. 70th St., Los Angeles",20,413,06-08
Alliance Leichtman-Levine Family Foundation Env Sci High School,"2930 Fletcher Dr., Los Angeles",62,528,09-12
Alliance Marc & Eva Stern Math And Science School,"5151 State Univ Dr. Lot 2, Los Angeles",74,601,09-12
Alliance Margaret M. Bloomfield Technology Academy High School,"7907 Santa Fe Ave., Huntington Park",69,280,09-12
Alliance Morgan Mckinzie High School,"110 S. Townsend Ave., Los Angeles",56,312,09-12
Alliance Ouchi-O'Donovan 6-12 Complex School,"5356 S. Fifth Ave., Los Angeles",42,"1,003",06-12
Alliance Patti And Peter Neuwirth Leadership Academy School,"4610 S. Main St., Los Angeles",69,630,09-12
Alliance Piera Barabaglia Shaheen Health Services Academy School,"10616 S. W.ern Ave., Los Angeles",35,453,09-12
Alliance Renee And Meyer Luskin Academy High School,"2941 W. 70th St., Los Angeles",45,554,09-12
Alliance Susan And Eric Smidt Technology High School,"211 S. Ave. 20, Los Angeles",46,514,09-12
Alliance Ted K. Tajima High School,"1552 W. Rockwood St., Los Angeles",45,262,09-12
Alliance Tennenbaum Family Technology High School,"2050 San Fernando Rd., Los Angeles",54,408,09-12
Allison Elementary School,"1011 Russell Pl., Pomona",21,293,KG-06
Alma Pre School,"4400 Alma Ave., Castro Valley",-,-,PK
Almaden Elementary School,"1295 Dentwood Dr., San Jose",26,368,KG-05
Almanor High (Continuation) School,"612 First St., Chester",-,-1,09-12
Almeria Middle School,"7723 Almeria Ave., Fontana",17,813,06-08
Almond Acres Charter Academy School,"1601 L St., San Miguel",47,253,KG-08
Almond Elementary School,"8172 Almond Ave., Fontana",15,549,KG-06
Almond Elementary School,"550 Almond Ave., Los Altos",97,536,KG-06
Almond Grove Elementary School,"5000 Amaryllis St., Oakley",65,381,KG-05
Almond Tree Middle School,"200 W. 15th Ave., Delano",33,698,06-08
Almondale Elementary School,"10510 Chippewa St., Bakersfield",53,659,KG-06
Aloha Elementary School,"11737 E. 214th St., Lakewood",42,382,KG-06
Alondra Middle School,"16200 Downey Ave., Paramount",37,955,06-08
Alpaugh Elementary School,"5313 Rd. 39, Alpaugh",8,204,KG-06
Alpaugh Junior-Senior High School,"5313 Rd. 39, Alpaugh",12,130,07-12
Alpha Charter School,"8920 Elwyn Ave., Elverta",13,37,KG-12
Alpha Cindy Avitia High School,"1601 Cunningham Ave., San Jose",-,147,09-12
Alpha Elementary School,"900 Stadium Rd., Madera",11,770,KG-06
Alpha Technology Middle School,"8920 Elwyn Ave., Elverta",19,113,06-08
Alpha: Blanca Alvarado Middle School,"1601 Cunningham Ave., San Jose",44,439,06-08
Alpha: Jose Hernandez Middle School,"1601 Cunningham Ave., San Jose",28,328,06-08
Alpine Community Day School,"2001 Tavern Rd., Alpine",-,-1,-
Alpine County Opportunity School,"43 Hawkside Dr., Markleeville",-,5,01-12
Alpine County Secondary Community Day School,"43 Hawkside Dr., Markleeville",-,-1,07-12
Alpine Elementary School,"1850 Alpine Blvd., Alpine",43,326,01-05
Alpine Elementary School,"8244 E. Pearblossom Hwy., Littlerock",15,430,KG-08
Alpine Vista School,"2975 E. Alpine Ave., Tulare",40,"1,099",KG-08
Alps View High (Continuation) School,"321 Victory Ln., Weaverville",-,6,09-12
Alta California Elementary School,"14859 Rayen St., Los Angeles",17,814,KG-05
Alta Elementary School,"21771 E. Parlier Ave., Reedley",24,369,KG-05
Alta Heights Elementary School,"15 Montecito Blvd., Napa",55,384,KG-05
Alta Loma Elementary School,"1745 Vineyard Ave., Los Angeles",12,593,KG-05
Alta Loma Elementary School,"7085 Amethyst St., Rancho Cucamonga",63,458,KG-06
Alta Loma High School,"8880 Baseline Rd., Rancho Cucamonga",70,"2,514",09-12
Alta Loma Junior High School,"9000 Lemon Ave., Rancho Cucamonga",79,648,07-08
Alta Loma Middle School,"116 Romney Ave., South San Francisco",67,702,06-08
Alta Mesa Elementary School,"2301 Saturn Skyway, Redding",51,264,KG-05
Alta Murrieta Elementary School,"39475 Whitewood Rd., Murrieta",83,797,KG-05
Alta Sierra Elementary School,"16607 Annie Dr., Grass Valley",73,325,KG-05
Alta Sierra Intermediate School,"380 W. Teague Ave., Clovis",90,"1,342",07-08
Alta Vista Academy School,"730 Medical Center Ct., Chula Vista",-,48,07-12
Alta Vista Alternative High School,"215 E. Ortega St., Santa Barbara",38,154,09-12
Alta Vista Alternative Junior High School,"215 E. Ortega St., Santa Barbara",-,-1,07-08
Alta Vista Community Charter School,"173 Oak St., Auburn",39,114,KG-05
Alta Vista Elementary School,"200 Blossom Valley Rd, Los Gatos",97,647,KG-05
Alta Vista Elementary School,"2293 E. Crabtree Ave., Porterville",4,572,KG-08
Alta Vista Elementary School,"815 Knob Hill Ave., Redondo Beach",92,664,KG-05
Alta Vista High School,"1325 Bryant Ave., Mountain View",23,100,09-12
Alta Vista High (Continuation) School,"1575 Bonair Dr., Vista",22,179,09-12
Alta Vista Public School,"11988 Hesperia Rd. Ste. B, Hesperia",10,"1,563",KG-12
Alta Vista South Public Charter School,"689 W. Second St., San Bernardino",10,473,KG-12
Alta-Dutch Flat Elementary School,"34050 Alta-Bonny Nook Rd., Alta",86,92,KG-08
Altadena Elementary School,"743 E. Calaveras St., Altadena",14,285,KG-05
Altamont Creek Elementary School,"6500 Garaventa Ranch Rd., Livermore",70,545,KG-05
Altamont Elementary School,"452 W. Saint Francis Ave., Mountain House",81,679,KG-08
Alternative Cooperative Education Charter School,"400 Hemlock St., Vacaville",79,124,KG-06
Alternative Education-San Joaquin High School,"3387 Barranca Pkwy., Irvine",96,76,KG-12
Alternative Family Education School,"840 N. Branciforte Ave., Santa Cruz",96,162,KG-12
Alternative Learning Academy At Conley-Caraballo High School,"541 Blanche St., Hayward",-,13,09-12
Alternative Learning Center School,"3232 E. Pacific St., Highland",-,21,01-12
Alternative Opportunity Programs School,"12830 Columbia Way, Downey",-,97,KG-12
Alternatives In Action School,"6221 E 17th St., Oakland",6,165,09-12
Altimira Middle School,"17805 Arnold Dr., Sonoma",29,557,06-08
Alturas Elementary School,"809 W. 8th St., Alturas",28,382,KG-05
Alvarado Elementary School,"625 Douglas St., San Francisco",82,508,KG-05
Alvarado Elementary School,"1900 E. 21st St., Signal Hill",71,435,KG-05
Alvarado Elementary School,"31100 Fredi St., Union City",57,839,KG-05
Alvarado Intermediate School,"1901 S. Desire Ave., Rowland Heights",70,795,07-08
Alview Elementary School,"20513 Rd. 4, Chowchilla",55,178,KG-03
Alvin Elementary School,"301 E. Alvin Ave., Santa Maria",13,"1,011",KG-06
Alvin M. Dunn Elementary School,"3697 La Mirada Dr., San Marcos",17,752,KG-05
Alvin S. Hatch Elementary School,"490 Miramontes Ave., Half Moon Bay",42,632,KG-05
Alvina Elementary Charter School,"295 W. Saginaw Ave., Caruthers",38,183,KG-08
Alvord Alternative Continuation High School,"10368 Campbell Ave., Riverside",-,124,09-12
Alvord Continuation High School,"3606 Pierce St., Riverside",28,112,09-12
Amador County Rop School,"217 Rex Ave., Jackson",-,-1,12
Amador County Special Education School,"217 Rex Ave., Jackson",-,157,KG-12
Amador High School,"330 Spanish St., Sutter Creek",69,645,09-12
Amador Valley High School,"1155 Santa Rita Rd., Pleasanton",98,"2,628",09-12
Amanecer Primary Center School,"832 S. E.man Ave., Los Angeles",-,181,KG-02
Amargosa Creek Middle School,"44333 27th St. W., Lancaster",29,"1,014",06-08
Ambassador Phillip V. Sanchez Public Charter School,"5659 E. Kings Canyon Rd., Fresno",9,591,KG-12
Ambassador -Global Education School,"3201 W. Eighth St., Los Angeles",28,399,KG-05
Ambassador-Global Leadership School,"701 S. Catalina St., Los Angeles",13,593,06-12
Ambler Avenue Elementary School,"319 E. Sherman Dr., Carson",30,504,KG-05
Amelia Earhart Continuation School,"5355 Colfax Ave., Los Angeles",17,98,09-12
Amelia Earhart Elementary School,"400 Packet Landing Rd., Alameda",97,622,KG-05
Amelia Earhart Elementary Of International Studies School,"45-250 Dune Palms Rd., Indio",73,931,KG-05
Amelia Earhart Middle School,"20202 Aptos St., Riverside",72,988,07-08
America's Finest Charter School,"730 45th St., San Diego",49,277,KG-08
American Canyon High School,"3000 Newell Dr., American Canyon",61,"1,582",09-12
American Canyon Middle School,"300 Benton Way, American Canyon",54,"1,041",06-08
American Elementary School,"800 Verdugo, Bakersfield",74,738,KG-06
American High School,"36300 Fremont Blvd., Fremont",89,"2,093",09-12
American Indian Public Charter School,"171 12th St., Oakland",72,131,05-08
American Indian Public Charter Ii School,"171 12th St., Oakland",88,641,KG-08
American Indian Public High School,"746 Grand Ave., Oakland",85,229,09-12
American Lakes Elementary School,"2800 Stonecreek Dr., Sacramento",12,469,KG-05
American Legion High (Continuation) School,"3801 BRd.way, Sacramento",17,290,09-12
American River Charter School,"6620 Wentworth Springs Rd., Georgetown",43,192,KG-12
American Union Elementary School,"2801 W. Adams Ave., Fresno",38,310,KG-08
Amesti Elementary School,"25 Amesti Rd., Watsonville",6,618,KG-05
Amestoy Elementary School,"1048 W. 149th St., Gardena",23,802,KG-05
Amistad High (Continuation) School,"83-501 Dillon Ave., Indio",12,289,09-12
Amy B. Seibert Elementary School,"2800 Agate St., Bakersfield",18,744,KG-06
Anacapa Middle School,"100 S. Mills Rd., Ventura",40,865,06-08
Anaheim High School,"811 W. Lincoln Ave., Anaheim",31,"3,164",09-12
Anaheim Hills Elementary School,"6450 E. Serrano, Anaheim",92,516,KG-06
Anahuacalmecac International Univ Prep Of N. America School,"4736 Hntngtn Dr. S., Los Angeles",9,368,KG-12
Analy High School,"6950 Analy Ave., Sebastopol",84,"1,273",09-12
Anatola Avenue Elementary School,"7364 Anatola Ave., Los Angeles",17,474,KG-05
Anaverde Hills School,"2902 Greenbrier St., Palmdale",28,629,KG-08
Andasol Avenue Elementary School,"10126 Encino Ave., Los Angeles",57,441,KG-05
Anderson School,"24302 E. Fourth St., San Bernardino",-,111,KG-12
Anderson (Alex) Elementary School,"5800 Calpine Dr., San Jose",46,456,KG-06
Anderson (Linford L.) Elementary School,"415 E. C St., Dixon",24,524,KG-06
Anderson Community Day School,"20083 Olinda Rd., Anderson",-,8,09-10
Anderson Elementary School,"2210 E. 130th St., Compton",54,480,KG-07
Anderson Elementary School,"8902 Hewitt Pl., Garden Grove",62,600,KG-06
Anderson Heights Elementary School,"1530 Spruce St., Anderson",24,240,03-05
Anderson High School,"1471 Ferry St., Anderson",45,611,09-12
Anderson Middle School,"1646 W. Ferry St., Anderson",28,473,06-08
Anderson New Technology High School,"2098 N. St., Anderson",73,213,09-12
Anderson Valley Elementary School,"12300 Anderson Valley Way, Boonville",37,278,KG-06
Anderson Valley Junior-Senior High School,"18200 Mountain View Rd., Boonville",64,232,07-12
Anderson W. Clark Magnet High School,"4747 New York Ave., La Crescenta-Montrose",98,"1,103",09-12
Andres Duarte Elementary School,"1433 Crestfield Dr., Duarte",27,346,KG-06
Andres And Maria Cardenas Elementary School,"6900 Calhoun Ave., Los Angeles",10,524,KG-05
Andrew Carnegie Middle School,"21820 Bonita St., Carson",23,924,06-08
Andrew Carnegie Middle School,"5820 Illinois Ave., Orangevale",65,"1,059",06-08
Andrew Jackson Elementary School,"82-850 Kenner Ave., Indio",18,642,KG-05
Andrew Jackson Elementary School,"1143 S. Nakoma Dr., Santa Ana",17,992,KG-05
Andrew Jackson Elementary School,"2220 Huntsman Ave., Selma",26,725,KG-06
Andrew N. Christensen Middle School,"5757 Haggin Oaks Ave., Livermore",70,615,06-08
Andrew P. Hill High School,"3200 Senter Rd., San Jose",44,"1,934",09-12
Andros Karperos School,"1700 Camino de Flores, Yuba City",36,"1,273",KG-08
Angel's Gate (Continuation) School,"3607 S. Gaffey St., Los Angeles",17,83,09-12
Angeles Mesa Elementary School,"2611 W. 52nd St., Los Angeles",11,412,KG-05
Angelo Rodriguez High School,"5000 Red Top Rd., Fairfield",63,"1,820",09-12
Angier Elementary School,"8450 Hurlbut St., San Diego",71,546,KG-05
Animo College Preparatory Academy School,"2265 E. 103rd St., Los Angeles",14,533,09-12
Animo Ellen Ochoa Charter Middle School,"725 S. Indiana St. Rm. 65, Los Angeles",16,298,06-08
Animo Florence-Firestone Charter Middle School,"155 W. 69th St., Los Angeles",11,-,06-08
Animo Inglewood Charter High School,"3425 W. Manchester Blvd., Inglewood",91,642,09-12
Animo Jackie Robinson High School,"3500 S. Hill St., Los Angeles",56,612,09-12
Animo James B. Taylor Charter Middle School,"810 E. 111th Pl., Los Angeles",11,462,06-08
Animo Jefferson Charter Middle School,"1655 E. 27th St. Ste. A, Los Angeles",19,551,06-08
Animo Leadership High School,"11044 S. Freeman Ave., Inglewood",62,638,09-12
Animo Mae Jemison Charter Middle School,"12700 Avalon Blvd., Los Angeles",12,320,06-08
Animo Pat Brown School,"8255 Beach St., Los Angeles",56,617,09-12
Animo Phillis Wheatley Charter Middle School,"12226 S. W.ern Ave., Los Angeles",5,605,06-08
Animo Ralph Bunche Charter High School,"1655 E. 27th St. Ste. B, Los Angeles",44,618,09-12
Animo South Los Angeles Charter School,"12226 S. W.ern Ave., Los Angeles",30,622,09-12
Animo Venice Charter High School,"820 BRd.way St., Los Angeles",60,599,09-12
Animo Watts College Preparatory Academy School,"12628 Avalon Blvd., Los Angeles",30,561,09-12
Animo Western Charter Middle School,"12226 S. W.ern Ave., Los Angeles",9,626,06-08
Animo Westside Charter Middle School,"5456 McConnell Ave., Los Angeles",31,437,06-08
Ann B. Leavenworth School,"4420 E. Thomas Ave., Fresno",42,844,KG-06
Ann Sobrato High School,"401 Burnett Ave., Morgan Hill",79,"1,477",09-12
Ann Soldo Elementary School,"1140 Menasco Dr., Watsonville",6,668,KG-05
Ann Street Elementary School,"126 E. Bloom St., Los Angeles",8,107,KG-06
Anna A. Borba Fundamental Elementary School,"4980 Riverside Dr., Chino",36,565,KG-06
Anna Hause Elementary School,"1015 Carnation Ln., Beaumont",44,836,KG-05
Anna Kirchgater Elementary School,"8141 Stevenson Ave., Sacramento",23,925,KG-06
Anna Kyle Elementary School,"1600 Kidder Ave., Fairfield",10,754,KG-05
Anna M. Glazier Elementary School,"10932 E. Excelsior Dr., Norwalk",23,524,KG-05
Anna Mckenney Intermediate School,"1904 Huston, Marysville",27,524,06-08
Anna Yates Elementary School,"1125 53rd St., Emeryville",20,524,KG-08
Annalee Avenue Elementary School,"19410 S. Annalee Ave., Carson",5,229,KG-06
Annandale Elementary School,"6125 Poppy Peak Dr., Los Angeles",12,292,KG-06
Anne Darling Elementary School,"333 N. 33rd St., San Jose",21,441,KG-05
Annie E. Cheney Kindergarten School,"149 Adams St., Coalinga",-,129,KG
Annie Pennycook Elementary School,"3620 Fernwood Dr., Vallejo",23,600,KG-05
Annie R. Mitchell School,"2121 E. Laura Ave., Visalia",29,766,KG-06
Ansel Adams School,"9275 Glacier Point Dr., Stockton",34,764,KG-06
Ansgar Larsen Elementary School,"550 Thomas Ave., Oxnard",7,802,KG-05
Antelope Community Day School,"22630 Antelope Blvd., Red Bluff",-,7,KG-08
Antelope Creek Elementary School,"6185 Springview Dr., Rocklin",68,524,KG-06
Antelope Crossing Middle School,"9200 Palmerson Dr., Antelope",58,"1,000",06-08
Antelope Elementary School,"111527 Highway 395, Coleville",71,131,KG-08
Antelope Elementary School,"37237 N. 100th St. E., Littlerock",23,367,KG-08
Antelope Elementary School,"22630 Antelope Blvd., Red Bluff",62,451,KG-05
Antelope High School,"7801 Titan Dr., Antelope",71,"1,832",09-12
Antelope Hills Elementary School,"36105 Murrieta Oaks Ave., Murrieta",76,822,KG-05
Antelope Meadows Elementary School,"8343 Palmerson Dr., Antelope",60,863,KG-05
Antelope Valley High School,"44900 N. Division St., Lancaster",23,"1,821",09-12
Antelope Valley Learning Academy School,"37212 47th St. E., Palmdale",21,"1,171",KG-12
Antelope Valley Rop School,"1156 E. Ave. S, Palmdale",-,-1,09-12
Anthony C. Traina Elementary School,"4256 Windsong Dr., Tracy",57,783,KG-08
Anthony G. Bacich Elementary School,"699 Sir Francis Drake Blvd., Kentfield",90,659,KG-04
Anthony Spangler Elementary School,"140 N. Abbott, Milpitas",77,575,KG-06
Anthony W. Ochoa Middle School,"2121 Depot Rd., Hayward",43,636,07-08
Antioch Charter Academy School,"3325 Hacienda Way, Antioch",54,196,KG-08
Antioch Charter Academy Ii School,"1201 W. Tenth St., Antioch",54,198,KG-08
Antioch High School,"700 W. 18th St., Antioch",31,"1,798",09-12
Antioch Middle School,"1500 D St., Antioch",12,752,06-08
Antonio Del Buono Elementary School,"9300 Wren Ave., Gilroy",22,554,KG-05
Anza Elementary School,"1005 S. Anza St., El Cajon",26,568,KG-05
Anza Elementary School,"21400 Ellinwood Dr., Torrance",95,626,KG-05
Anzar High School,"2000 San Juan Hwy., San Juan Bautista",52,361,09-12
Apollo High School,"1835 Cunningham Ave., San Jose",25,153,11-12
Apollo High School,"3150 Sch St., Simi Valley",22,199,09-12
Apperson Street Elementary School,"10233 Woodward Ave., Los Angeles",59,418,KG-05
Apple Academy Charter Public School,"4920 S. W.ern Ave., Los Angeles",10,329,KG-05
Apple Blossom School,"700 Water Trough Rd., Sebastopol",58,431,KG-05
Apple Valley High School,"11837 Navajo Rd., Apple Valley",49,"2,218",09-12
Apple Valley Unified Pre Special Education School,"12555 Navajo Rd., Apple Valley",-,-,PK
Applied Technology Center School,"1200 W. Mines Ave., Montebello",38,565,09-12
Apricot Valley Elementary School,"1320 Henley Pkwy., Patterson",35,793,KG-05
April Lane Elementary School,"800 April Ln., Yuba City",28,519,KG-05
Aptitud Community Academy At Goss School,"2475 Van Winkle Ln., San Jose",14,442,KG-08
Aptos High School,"100 Mariner Way, Aptos",80,"1,409",09-12
Aptos Junior High School,"1001 Hntngtn Dr., Aptos",71,701,07-08
Aptos Middle School,"105 Aptos Ave., San Francisco",67,"1,000",06-08
Aragon Avenue Elementary School,"1118 Aragon Ave., Los Angeles",14,354,KG-05
Aragon High School,"900 Alameda de Las Pulgas, San Mateo",93,"1,473",09-12
Ararat Charter School,"6555 Sylmar Ave., Los Angeles",72,340,KG-05
Arboga Elementary School,"1686 BRd.way, Olivehurst",48,499,KG-06
Arbolita Elementary School,"1001 E. Brookdale Ave., La Habra",-,387,KG-02
Arbuckle Alternative High (Continuation) School,"966 Wildwood Rd., Arbuckle",-,17,09-12
Arbuckle Elementary School,"701 Hall St., Arbuckle",37,627,KG-05
Arcade Fundamental Middle School,"3500 Edison Ave., Sacramento",46,485,06-08
Arcadia High School,"180 Campus Dr., Arcadia",89,"3,424",09-12
Arcata Elementary School,"2400 Baldwin St., Arcata",43,304,KG-05
Arcata High School,"1720 M St., Arcata",83,855,09-12
Architecture Construction & Engineering Charter High (Ace) School,"570 Airport Way, Camarillo",40,186,09-12
